Sales org./Plant,Material,X-plant matl status,Material Type,Special procurement,Serial no. profile,Material description,Revision Level,Valid From,Change Number,Procurement type,Mat. Grp. Descr.,Fam. Grp. Descr.,Product hierarchy level 1,Product hierarchy,Prod. Seg. Descr.,Product Line,Base Unit of Measure,Country of origin,Comm./imp. code no.,Mat. Price,Price unit,Plant-sp.matl status,ACS part Type,Annual demand,Average cons. past 12 mons.,Forecast days,Plant stock,Consumption past month12,Consumption past month11,Consumption past month10,Consumption past month9,Consumption past month8,Consumption past month7,Consumption past month6,Consumption past month5,Consumption past month4,Consumption past month3,Consumption past month2,Consumption past month1,Forecast current month(1),Forecast month(2,Forecast month(3),Forecast month(4),Forecast month(5),Forecast month(6),Forecast month(7),Forecast month(8),Forecast month(9),Forecast month(10),Forecast month(11),Forecast month(12)
1000,007200037,AA,MP,,,"FLEXSTRIP   6P P.1,27 L=50,8 NOMEX",,,,,Connectors,HHS,HHSBU,HHSBUOTHERCOMPNT,HHS OTHER,HHS BU Other RM/Suba,N,,,0.0000,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,010138008,AA,MP,,,SCREW M 2  X  6  UNI 7687 WZ,,,,,"Screw,Washers,ORings",HHS,HHSBU,HHSBUOTHERCOMPNT,HHS OTHER,HHS BU Other RM/Suba,N,,,0.0000,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,068000134,AA,MP,SK,,"DISPLAY LCD 2,8"" 320X240 TFT",,,,F,Display,MOB,JOYA*,JOYA*OTHERCOMPNT,MC STORE AUTOMATION,Joya Other RM/Subass,N,VN,8473.30.5100,12.0000,1,D0,,0.000,0.000,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,068000178,AA,MP,,,"LED,RED,660NM,BIN 1-4,120DEG,250MA,SMD",,,,,Optoelectronics,FRS,FRSBU,FRSBUOTHERCOMPNT,FRS OTHER,FRS BU Other RM/Suba,N,,,0.3400,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,068000179,AA,MP,,,"LED,RED,660NM,BIN 5-7,120DEG,250MA,SMD",,,,,Optoelectronics,FRS,FRSBU,FRSBUOTHERCOMPNT,FRS OTHER,FRS BU Other RM/Suba,N,,,0.3400,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,068000180,AA,MP,,,"LED,RED,660NM,VF 1.7-2.3V,120DEG,SMD",,,,,Optoelectronics,FRS,FRSBU,FRSBUOTHERCOMPNT,FRS OTHER,FRS BU Other RM/Suba,N,,,0.3300,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,068000181,AA,MP,,,"LED,RED,660NM,VF 2.3-2.6V,120DEG,SMD",,,,,Optoelectronics,FRS,FRSBU,FRSBUOTHERCOMPNT,FRS OTHER,FRS BU Other RM/Suba,N,,,0.3300,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,50-0043-00,,SL,,,"ASSY,PM8500-DK (16KEYS) SB5135",,,,,,HHS,42500,425000003042531,HHS RUGGED,PowerScan 85X0 Mobil,,,,0.0000,0,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,652679010,ST,SL,SK,,GEL-3380 SMD NEW JOYA I/O BOARD,,,,F,CM - PCBA,MOB,JOYA*,JOYA*OTHERCOMPNT,MC STORE AUTOMATION,Joya Other RM/Subass,N,SK,8473.30.1180,5.8900,1,D0,,0.000,0.000,0,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,653016010,PP,SL,,,GEL-7528 SMD CONTACTS BOARD COLRUYT,,,,,Material,HHS,HHSBU,HHSBUOTHERCOMPNT,HHS OTHER,HHS BU Other RM/Suba,N,,,0.0000,1,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,654826011,,SL,,,GEL-4889 SMD MOTHER B.USB MAGER GFS4170,,,,,,HHS,35000,350000003035031,HHS RUGGED,Marciano Other,,,,0.0000,0,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,654826021,,SL,,,GEL-4921 SMD MOTHER B.RS232 GFS4150-9,,,,,,HHS,35000,350000003035031,HHS RUGGED,Marciano Other,,,,0.0000,0,,,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
